"","country","beta","pval","std.error","Significant"
"1","Mexico",1.2569683682213,0.0120045759081402,0.497118762143004,TRUE
"2","Brazil",1.0533371028819,0.376415173145348,1.18896125298069,FALSE
"3","Russia",0.779708873187423,5.88853313197182e-05,0.191126283725055,TRUE
"4","South Africa",0.503176079597766,0.537326451489826,0.814698967293025,FALSE
"5","Chile",0.194515419778309,0.168341084038147,0.140838159892906,FALSE
"6","Canada",0.170965087028089,0.404749734458512,0.204888331070749,FALSE
"7","Peru",0.162746669316437,0.249479913274989,0.141027029344417,FALSE
"8","Norway",0.159512154136384,0.0486217731301531,0.0805398509353262,TRUE
"9","Colombia",0.117770020403453,0.650679590827858,0.259802540839238,FALSE
"10","Australia",0.0859664388394413,0.670848035795933,0.202068225474312,FALSE
"11","Indonesia",0.0837949489590235,0.750544724486149,0.263312430418618,FALSE
"12","Malaysia",0.0330921268665815,0.670713925345931,0.0777509575541585,FALSE
"13","New Zealand",-0.116728277109302,0.879429582894343,0.768804059604164,FALSE
"14","Netherlands",-0.483989238058501,0.0014198820039062,0.150180411118691,TRUE
"15","Denmark",-0.814273380428473,0.0246910071400866,0.360554718860731,TRUE
"16","Ireland",-3.08837426012632,0.0259793984731941,1.37970947683383,TRUE
